Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber
0 days 00:18:10.446000,NOR,4,0 days 00:01:16.003000,2.0,1.0,,,0 days 00:00:26.383000,0 days 00:00:17.285000,0 days 00:00:32.335000,0 days 00:17:20.826000,0 days 00:17:38.111000,0 days 00:18:10.446000,290.0,322.0,307.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:16:54.443000,,1,,,,False,True,1
0 days 00:23:24.968000,NOR,4,0 days 00:01:15.912000,5.0,2.0,,,0 days 00:00:26.463000,0 days 00:00:17.116000,0 days 00:00:32.333000,0 days 00:22:35.519000,0 days 00:22:52.635000,0 days 00:23:24.968000,290.0,326.0,308.0,328.0,True,SOFT,5.0,False,McLaren,0 days 00:22:09.056000,,1,,,,False,True,1
0 days 00:42:08.476000,NOR,4,0 days 00:01:15.556000,10.0,4.0,,,0 days 00:00:26.104000,0 days 00:00:17.122000,0 days 00:00:32.330000,0 days 00:41:19.024000,0 days 00:41:36.146000,0 days 00:42:08.476000,289.0,325.0,307.0,323.0,True,None,2.0,True,McLaren,0 days 00:40:52.920000,,1,,,,False,True,1
0 days 00:53:23.470000,NOR,4,0 days 00:01:15.415000,13.0,5.0,,,0 days 00:00:26.194000,0 days 00:00:17.030000,0 days 00:00:32.191000,0 days 00:52:34.249000,0 days 00:52:51.279000,0 days 00:53:23.470000,289.0,325.0,310.0,328.0,True,SOFT,5.0,False,McLaren,0 days 00:52:08.055000,,1,,,,False,True,1
0 days 01:03:42.907000,NOR,4,0 days 00:01:15.921000,16.0,6.0,,,0 days 00:00:26.127000,0 days 00:00:17.057000,0 days 00:00:32.737000,0 days 01:02:53.113000,0 days 01:03:10.170000,0 days 01:03:42.907000,289.0,325.0,313.0,326.0,True,SOFT,2.0,True,McLaren,0 days 01:02:26.986000,,1,,,,False,True,1
0 days 01:11:43.736000,NOR,4,0 days 00:01:15.096000,19.0,7.0,,,0 days 00:00:25.961000,0 days 00:00:16.997000,0 days 00:00:32.138000,0 days 01:10:54.601000,0 days 01:11:11.598000,0 days 01:11:43.736000,288.0,325.0,310.0,326.0,True,SOFT,2.0,True,McLaren,0 days 01:10:28.640000,,1,,,,False,True,1
0 days 00:18:52.202000,PIA,81,0 days 00:01:16.157000,2.0,1.0,,,0 days 00:00:26.452000,0 days 00:00:17.204000,0 days 00:00:32.501000,0 days 00:18:02.497000,0 days 00:18:19.701000,0 days 00:18:52.202000,290.0,322.0,306.0,321.0,True,SOFT,2.0,True,McLaren,0 days 00:17:36.045000,,1,,,,False,True,1
0 days 00:23:56.059000,PIA,81,0 days 00:01:16.062000,5.0,2.0,,,0 days 00:00:26.270000,0 days 00:00:17.114000,0 days 00:00:32.678000,0 days 00:23:06.267000,0 days 00:23:23.381000,0 days 00:23:56.059000,289.0,325.0,307.0,325.0,True,SOFT,5.0,False,McLaren,0 days 00:22:39.997000,,12,,,,False,True,1
0 days 00:41:58.825000,PIA,81,0 days 00:01:15.468000,9.0,4.0,,,0 days 00:00:26.171000,0 days 00:00:17.111000,0 days 00:00:32.186000,0 days 00:41:09.528000,0 days 00:41:26.639000,0 days 00:41:58.825000,290.0,324.0,305.0,323.0,True,SOFT,2.0,True,McLaren,0 days 00:40:43.357000,,1,,,,False,True,1
0 days 01:03:34.415000,PIA,81,0 days 00:01:16.147000,14.0,6.0,,,0 days 00:00:26.190000,0 days 00:00:17.066000,0 days 00:00:32.891000,0 days 01:02:44.458000,0 days 01:03:01.524000,0 days 01:03:34.415000,288.0,326.0,309.0,323.0,True,SOFT,2.0,True,McLaren,0 days 01:02:18.268000,,1,,,,False,True,1
0 days 01:11:33.509000,PIA,81,0 days 00:01:15.180000,17.0,7.0,,,0 days 00:00:26.082000,0 days 00:00:16.952000,0 days 00:00:32.146000,0 days 01:10:44.411000,0 days 01:11:01.363000,0 days 01:11:33.509000,289.0,325.0,309.0,323.0,True,SOFT,2.0,True,McLaren,0 days 01:10:18.329000,,1,,,,False,True,1
0 days 00:19:39.424000,VER,1,0 days 00:01:16.018000,2.0,1.0,,,0 days 00:00:26.366000,0 days 00:00:17.171000,0 days 00:00:32.481000,0 days 00:18:49.772000,0 days 00:19:06.943000,0 days 00:19:39.424000,291.0,327.0,303.0,328.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:23.406000,,1,,,,False,True,1
0 days 00:40:24.589000,VER,1,0 days 00:01:15.688000,7.0,3.0,,,0 days 00:00:26.229000,0 days 00:00:17.038000,0 days 00:00:32.421000,0 days 00:39:35.130000,0 days 00:39:52.168000,0 days 00:40:24.589000,290.0,329.0,309.0,325.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:39:08.901000,,1,,,,False,True,1
0 days 00:53:17.616000,VER,1,0 days 00:01:15.565000,10.0,4.0,,,0 days 00:00:26.090000,0 days 00:00:17.003000,0 days 00:00:32.472000,0 days 00:52:28.141000,0 days 00:52:45.144000,0 days 00:53:17.616000,289.0,328.0,308.0,330.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:52:02.051000,,21,,,,False,True,1
0 days 01:04:23.706000,VER,1,0 days 00:01:15.671000,13.0,5.0,,,0 days 00:00:26.055000,0 days 00:00:16.935000,0 days 00:00:32.681000,0 days 01:03:34.090000,0 days 01:03:51.025000,0 days 01:04:23.706000,290.0,328.0,308.0,331.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:08.035000,,1,,,,False,True,1
0 days 01:12:05.657000,VER,1,0 days 00:01:15.481000,16.0,6.0,,,0 days 00:00:26.066000,0 days 00:00:16.915000,0 days 00:00:32.500000,0 days 01:11:16.242000,0 days 01:11:33.157000,0 days 01:12:05.657000,290.0,330.0,310.0,331.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:10:50.176000,,1,,,,False,True,1
0 days 00:15:49.099000,RUS,63,0 days 00:01:17.210000,2.0,1.0,,,0 days 00:00:26.777000,0 days 00:00:17.431000,0 days 00:00:33.002000,0 days 00:14:58.666000,0 days 00:15:16.097000,0 days 00:15:49.099000,289.0,323.0,310.0,322.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:14:31.889000,,1,,,,False,True,1
0 days 00:21:57.130000,RUS,63,0 days 00:01:16.295000,5.0,2.0,,,0 days 00:00:26.416000,0 days 00:00:17.163000,0 days 00:00:32.716000,0 days 00:21:07.251000,0 days 00:21:24.414000,0 days 00:21:57.130000,290.0,326.0,312.0,326.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:20:40.835000,,1,,,,False,True,1
0 days 00:29:06.784000,RUS,63,0 days 00:01:15.971000,8.0,3.0,,,0 days 00:00:26.366000,0 days 00:00:17.086000,0 days 00:00:32.519000,0 days 00:28:17.179000,0 days 00:28:34.265000,0 days 00:29:06.784000,291.0,328.0,310.0,326.0,True,SOFT,2.0,True,Mercedes,0 days 00:27:50.813000,,1,,,,False,True,1
0 days 00:41:29.058000,RUS,63,0 days 00:01:15.798000,11.0,4.0,,,0 days 00:00:26.373000,0 days 00:00:17.128000,0 days 00:00:32.297000,0 days 00:40:39.633000,0 days 00:40:56.761000,0 days 00:41:29.058000,290.0,324.0,309.0,321.0,True,SOFT,5.0,False,Mercedes,0 days 00:40:13.260000,,1,,,,False,True,1
0 days 01:04:03.424000,RUS,63,0 days 00:01:15.695000,17.0,6.0,,,0 days 00:00:26.104000,0 days 00:00:17.030000,0 days 00:00:32.561000,0 days 01:03:13.833000,0 days 01:03:30.863000,0 days 01:04:03.424000,289.0,326.0,309.0,328.0,True,SOFT,2.0,True,Mercedes,0 days 01:02:47.729000,,1,,,,False,True,1
0 days 01:11:56.722000,RUS,63,0 days 00:01:15.546000,20.0,7.0,,,0 days 00:00:26.163000,0 days 00:00:16.951000,0 days 00:00:32.432000,0 days 01:11:07.339000,0 days 01:11:24.290000,0 days 01:11:56.722000,289.0,327.0,312.0,327.0,True,SOFT,2.0,True,Mercedes,0 days 01:10:41.176000,,1,,,,False,True,1
0 days 00:22:06.295000,TSU,22,0 days 00:01:16.752000,2.0,1.0,,,0 days 00:00:26.690000,0 days 00:00:17.234000,0 days 00:00:32.828000,0 days 00:21:16.233000,0 days 00:21:33.467000,0 days 00:22:06.295000,289.0,328.0,309.0,327.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:20:49.543000,,1,,,,False,True,1
0 days 00:29:31.151000,TSU,22,0 days 00:01:16.225000,5.0,2.0,,,0 days 00:00:26.468000,0 days 00:00:17.173000,0 days 00:00:32.584000,0 days 00:28:41.394000,0 days 00:28:58.567000,0 days 00:29:31.151000,291.0,328.0,307.0,326.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:28:14.926000,,1,,,,False,True,1
0 days 00:45:11.891000,TSU,22,0 days 00:01:16.009000,8.0,3.0,,,0 days 00:00:26.264000,0 days 00:00:17.193000,0 days 00:00:32.552000,0 days 00:44:22.146000,0 days 00:44:39.339000,0 days 00:45:11.891000,289.0,325.0,307.0,325.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:43:55.882000,,1,,,,False,True,1
0 days 00:52:32.160000,TSU,22,0 days 00:01:16.305000,11.0,4.0,,,0 days 00:00:26.311000,0 days 00:00:17.151000,0 days 00:00:32.843000,0 days 00:51:42.166000,0 days 00:51:59.317000,0 days 00:52:32.160000,288.0,327.0,311.0,327.0,False,SOFT,2.0,True,Racing Bulls,0 days 00:51:15.855000,,12,,,,False,True,1
0 days 01:05:11.789000,TSU,22,0 days 00:01:16.239000,14.0,5.0,,,0 days 00:00:26.329000,0 days 00:00:17.151000,0 days 00:00:32.759000,0 days 01:04:21.879000,0 days 01:04:39.030000,0 days 01:05:11.789000,289.0,327.0,308.0,330.0,True,SOFT,5.0,False,Racing Bulls,0 days 01:03:55.550000,,1,,,,False,True,1
0 days 01:13:08.773000,TSU,22,0 days 00:01:15.670000,17.0,6.0,,,0 days 00:00:26.190000,0 days 00:00:17.005000,0 days 00:00:32.475000,0 days 01:12:19.293000,0 days 01:12:36.298000,0 days 01:13:08.773000,290.0,330.0,306.0,328.0,True,SOFT,2.0,True,Racing Bulls,0 days 01:11:53.103000,,1,,,,False,True,1
0 days 00:16:56.292000,ALB,23,0 days 00:01:16.963000,2.0,1.0,,,0 days 00:00:26.756000,0 days 00:00:17.281000,0 days 00:00:32.926000,0 days 00:16:06.085000,0 days 00:16:23.366000,0 days 00:16:56.292000,289.0,327.0,309.0,323.0,True,SOFT,2.0,True,Williams,0 days 00:15:39.329000,,1,,,,False,True,1
0 days 00:21:41.893000,ALB,23,0 days 00:01:16.563000,5.0,1.0,,,0 days 00:00:26.580000,0 days 00:00:17.141000,0 days 00:00:32.842000,0 days 00:20:51.910000,0 days 00:21:09.051000,0 days 00:21:41.893000,290.0,329.0,311.0,325.0,True,SOFT,5.0,True,Williams,0 days 00:20:25.330000,,1,,,,False,True,1
0 days 00:30:37.412000,ALB,23,0 days 00:01:16.245000,8.0,2.0,,,0 days 00:00:26.378000,0 days 00:00:17.153000,0 days 00:00:32.714000,0 days 00:29:47.545000,0 days 00:30:04.698000,0 days 00:30:37.412000,292.0,327.0,309.0,325.0,True,SOFT,2.0,True,Williams,0 days 00:29:21.167000,,1,,,,False,True,1
0 days 00:41:44.148000,ALB,23,0 days 00:01:16.019000,11.0,3.0,,,0 days 00:00:26.386000,0 days 00:00:17.120000,0 days 00:00:32.513000,0 days 00:40:54.515000,0 days 00:41:11.635000,0 days 00:41:44.148000,290.0,327.0,304.0,326.0,True,SOFT,2.0,True,Williams,0 days 00:40:28.129000,,1,,,,False,True,1
0 days 00:52:55.202000,ALB,23,0 days 00:01:16.017000,14.0,4.0,,,0 days 00:00:26.186000,0 days 00:00:17.034000,0 days 00:00:32.797000,0 days 00:52:05.371000,0 days 00:52:22.405000,0 days 00:52:55.202000,289.0,328.0,309.0,327.0,True,SOFT,2.0,True,Williams,0 days 00:51:39.185000,,12,,,,False,True,1
0 days 01:04:54.559000,ALB,23,0 days 00:01:16.173000,17.0,5.0,,,0 days 00:00:26.325000,0 days 00:00:17.061000,0 days 00:00:32.787000,0 days 01:04:04.711000,0 days 01:04:21.772000,0 days 01:04:54.559000,288.0,328.0,307.0,329.0,True,SOFT,5.0,False,Williams,0 days 01:03:38.386000,,1,,,,False,True,1
0 days 01:12:50.573000,ALB,23,0 days 00:01:15.737000,20.0,6.0,,,0 days 00:00:26.215000,0 days 00:00:16.978000,0 days 00:00:32.544000,0 days 01:12:01.051000,0 days 01:12:18.029000,0 days 01:12:50.573000,289.0,329.0,309.0,331.0,True,SOFT,2.0,True,Williams,0 days 01:11:34.836000,,1,,,,False,True,1
0 days 00:17:47.040000,LEC,16,0 days 00:01:16.453000,2.0,1.0,,,0 days 00:00:26.558000,0 days 00:00:17.265000,0 days 00:00:32.630000,0 days 00:16:57.145000,0 days 00:17:14.410000,0 days 00:17:47.040000,290.0,323.0,307.0,324.0,True,SOFT,2.0,True,Ferrari,0 days 00:16:30.587000,,1,,,,False,True,1
0 days 00:22:51.913000,LEC,16,0 days 00:01:16.029000,5.0,2.0,,,0 days 00:00:26.411000,0 days 00:00:17.144000,0 days 00:00:32.474000,0 days 00:22:02.295000,0 days 00:22:19.439000,0 days 00:22:51.913000,290.0,322.0,308.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 00:21:35.884000,,1,,,,False,True,1
0 days 00:40:35.469000,LEC,16,0 days 00:01:15.838000,9.0,4.0,,,0 days 00:00:26.324000,0 days 00:00:17.048000,0 days 00:00:32.466000,0 days 00:39:45.955000,0 days 00:40:03.003000,0 days 00:40:35.469000,290.0,324.0,304.0,322.0,True,SOFT,9.0,False,Ferrari,0 days 00:39:19.631000,,1,,,,False,True,1
0 days 00:47:07.727000,LEC,16,0 days 00:01:15.827000,12.0,5.0,,,0 days 00:00:26.184000,0 days 00:00:17.155000,0 days 00:00:32.488000,0 days 00:46:18.084000,0 days 00:46:35.239000,0 days 00:47:07.727000,289.0,320.0,303.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 00:45:51.900000,,1,,,,False,True,1
0 days 01:03:51.984000,LEC,16,0 days 00:01:15.755000,17.0,7.0,,,0 days 00:00:26.194000,0 days 00:00:17.025000,0 days 00:00:32.536000,0 days 01:03:02.423000,0 days 01:03:19.448000,0 days 01:03:51.984000,290.0,325.0,309.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 01:02:36.229000,,1,,,,False,True,1
0 days 00:17:58.265000,HAM,44,0 days 00:01:16.744000,2.0,1.0,,,0 days 00:00:26.490000,0 days 00:00:17.391000,0 days 00:00:32.863000,0 days 00:17:08.011000,0 days 00:17:25.402000,0 days 00:17:58.265000,290.0,319.0,306.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 00:16:41.521000,,1,,,,False,True,1
0 days 00:23:32.907000,HAM,44,0 days 00:01:16.402000,5.0,2.0,,,0 days 00:00:26.451000,0 days 00:00:17.243000,0 days 00:00:32.708000,0 days 00:22:42.956000,0 days 00:23:00.199000,0 days 00:23:32.907000,290.0,326.0,306.0,327.0,True,SOFT,5.0,False,Ferrari,0 days 00:22:16.505000,,1,,,,False,True,1
0 days 00:31:02.431000,HAM,44,0 days 00:01:16.213000,8.0,3.0,,,0 days 00:00:26.347000,0 days 00:00:17.224000,0 days 00:00:32.642000,0 days 00:30:12.565000,0 days 00:30:29.789000,0 days 00:31:02.431000,290.0,323.0,305.0,330.0,True,SOFT,2.0,True,Ferrari,0 days 00:29:46.218000,,1,,,,False,True,1
0 days 00:40:56.685000,HAM,44,0 days 00:01:16.073000,11.0,4.0,,,0 days 00:00:26.518000,0 days 00:00:17.292000,0 days 00:00:32.263000,0 days 00:40:07.130000,0 days 00:40:24.422000,0 days 00:40:56.685000,289.0,320.0,307.0,320.0,True,SOFT,5.0,False,Ferrari,0 days 00:39:40.612000,,1,,,,False,True,1
0 days 00:47:16.046000,HAM,44,0 days 00:01:15.919000,14.0,5.0,,,0 days 00:00:26.150000,0 days 00:00:17.223000,0 days 00:00:32.546000,0 days 00:46:26.277000,0 days 00:46:43.500000,0 days 00:47:16.046000,289.0,321.0,306.0,324.0,True,SOFT,2.0,True,Ferrari,0 days 00:46:00.127000,,1,,,,False,True,1
0 days 01:04:11.397000,HAM,44,0 days 00:01:16.327000,19.0,6.0,,,0 days 00:00:26.290000,0 days 00:00:17.084000,0 days 00:00:32.953000,0 days 01:03:21.360000,0 days 01:03:38.444000,0 days 01:04:11.397000,290.0,324.0,309.0,327.0,True,SOFT,8.0,False,Ferrari,0 days 01:02:55.070000,,1,,,,False,True,1
0 days 01:12:32.905000,HAM,44,0 days 00:01:15.973000,22.0,7.0,,,0 days 00:00:26.265000,0 days 00:00:17.080000,0 days 00:00:32.628000,0 days 01:11:43.197000,0 days 01:12:00.277000,0 days 01:12:32.905000,290.0,324.0,306.0,328.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:16.932000,,1,,,,False,True,1
0 days 00:17:18.211000,GAS,10,0 days 00:01:16.839000,2.0,1.0,,,0 days 00:00:26.640000,0 days 00:00:17.369000,0 days 00:00:32.830000,0 days 00:16:28.012000,0 days 00:16:45.381000,0 days 00:17:18.211000,288.0,323.0,301.0,322.0,True,SOFT,2.0,True,Alpine,0 days 00:16:01.372000,,1,,,,False,True,1
0 days 00:22:12.980000,GAS,10,0 days 00:01:16.825000,5.0,1.0,,,0 days 00:00:26.606000,0 days 00:00:17.241000,0 days 00:00:32.978000,0 days 00:21:22.761000,0 days 00:21:40.002000,0 days 00:22:12.980000,287.0,327.0,308.0,326.0,True,SOFT,5.0,True,Alpine,0 days 00:20:56.155000,,1,,,,False,True,1
0 days 00:29:52.135000,GAS,10,0 days 00:01:16.328000,8.0,2.0,,,0 days 00:00:26.540000,0 days 00:00:17.148000,0 days 00:00:32.640000,0 days 00:29:02.347000,0 days 00:29:19.495000,0 days 00:29:52.135000,288.0,328.0,308.0,324.0,True,SOFT,2.0,True,Alpine,0 days 00:28:35.807000,,1,,,,False,True,1
0 days 00:44:32.992000,GAS,10,0 days 00:01:16.112000,11.0,3.0,,,0 days 00:00:26.400000,0 days 00:00:17.152000,0 days 00:00:32.560000,0 days 00:43:43.280000,0 days 00:44:00.432000,0 days 00:44:32.992000,287.0,325.0,307.0,324.0,True,SOFT,2.0,True,Alpine,0 days 00:43:16.880000,,1,,,,False,True,1
0 days 00:53:37.378000,GAS,10,0 days 00:01:16.196000,14.0,4.0,,,0 days 00:00:26.444000,0 days 00:00:17.051000,0 days 00:00:32.701000,0 days 00:52:47.626000,0 days 00:53:04.677000,0 days 00:53:37.378000,286.0,326.0,306.0,329.0,False,SOFT,2.0,True,Alpine,0 days 00:52:21.182000,,1,,,,False,True,1
0 days 01:04:46.895000,GAS,10,0 days 00:01:16.387000,17.0,5.0,,,0 days 00:00:26.387000,0 days 00:00:17.151000,0 days 00:00:32.849000,0 days 01:03:56.895000,0 days 01:04:14.046000,0 days 01:04:46.895000,287.0,324.0,306.0,325.0,True,SOFT,5.0,False,Alpine,0 days 01:03:30.508000,,1,,,,False,True,1
0 days 01:12:15.268000,GAS,10,0 days 00:01:15.980000,20.0,6.0,,,0 days 00:00:26.293000,0 days 00:00:17.087000,0 days 00:00:32.600000,0 days 01:11:25.581000,0 days 01:11:42.668000,0 days 01:12:15.268000,287.0,326.0,307.0,326.0,True,SOFT,2.0,True,Alpine,0 days 01:10:59.288000,,1,,,,False,True,1
0 days 00:16:22.358000,SAI,55,0 days 00:01:17.650000,2.0,1.0,,,0 days 00:00:27.029000,0 days 00:00:17.351000,0 days 00:00:33.270000,0 days 00:15:31.737000,0 days 00:15:49.088000,0 days 00:16:22.358000,288.0,326.0,307.0,323.0,True,SOFT,2.0,True,Williams,0 days 00:15:04.708000,,1,,,,False,True,1
0 days 00:21:25.481000,SAI,55,0 days 00:01:16.440000,5.0,1.0,,,0 days 00:00:26.466000,0 days 00:00:17.168000,0 days 00:00:32.806000,0 days 00:20:35.507000,0 days 00:20:52.675000,0 days 00:21:25.481000,289.0,326.0,308.0,323.0,True,SOFT,5.0,True,Williams,0 days 00:20:09.041000,,1,,,,False,True,1
0 days 00:27:53.768000,SAI,55,0 days 00:01:16.360000,8.0,2.0,,,0 days 00:00:26.477000,0 days 00:00:17.175000,0 days 00:00:32.708000,0 days 00:27:03.885000,0 days 00:27:21.060000,0 days 00:27:53.768000,289.0,325.0,310.0,323.0,True,SOFT,2.0,True,Williams,0 days 00:26:37.408000,,1,,,,False,True,1
0 days 00:41:37.313000,SAI,55,0 days 00:01:16.118000,11.0,3.0,,,0 days 00:00:26.306000,0 days 00:00:17.153000,0 days 00:00:32.659000,0 days 00:40:47.501000,0 days 00:41:04.654000,0 days 00:41:37.313000,290.0,328.0,308.0,324.0,True,SOFT,2.0,True,Williams,0 days 00:40:21.195000,,1,,,,False,True,1
0 days 00:52:49.981000,SAI,55,0 days 00:01:15.931000,14.0,4.0,,,0 days 00:00:26.269000,0 days 00:00:17.078000,0 days 00:00:32.584000,0 days 00:52:00.319000,0 days 00:52:17.397000,0 days 00:52:49.981000,287.0,328.0,308.0,327.0,True,SOFT,2.0,True,Williams,0 days 00:51:34.050000,,12,,,,False,True,1
0 days 01:04:34.996000,SAI,55,0 days 00:01:17.364000,17.0,5.0,,,0 days 00:00:26.453000,0 days 00:00:17.106000,0 days 00:00:33.805000,0 days 01:03:44.085000,0 days 01:04:01.191000,0 days 01:04:34.996000,288.0,327.0,309.0,326.0,True,SOFT,5.0,False,Williams,0 days 01:03:17.632000,,1,,,,False,True,1
0 days 01:12:42.479000,SAI,55,0 days 00:01:16.062000,20.0,6.0,,,0 days 00:00:26.355000,0 days 00:00:17,0 days 00:00:32.707000,0 days 01:11:52.772000,0 days 01:12:09.772000,0 days 01:12:42.479000,289.0,329.0,309.0,327.0,True,SOFT,2.0,True,Williams,0 days 01:11:26.417000,,1,,,,False,True,1
0 days 00:21:49.514000,HAD,6,0 days 00:01:16.725000,2.0,1.0,,,0 days 00:00:26.650000,0 days 00:00:17.221000,0 days 00:00:32.854000,0 days 00:20:59.439000,0 days 00:21:16.660000,0 days 00:21:49.514000,289.0,328.0,308.0,327.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:20:32.789000,,1,,,,False,True,1
0 days 00:30:05.961000,HAD,6,0 days 00:01:16.354000,5.0,2.0,,,0 days 00:00:26.523000,0 days 00:00:17.139000,0 days 00:00:32.692000,0 days 00:29:16.130000,0 days 00:29:33.269000,0 days 00:30:05.961000,292.0,329.0,308.0,327.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:28:49.607000,,1,,,,False,True,1
0 days 00:44:25.536000,HAD,6,0 days 00:01:16.445000,8.0,3.0,,,0 days 00:00:26.510000,0 days 00:00:17.239000,0 days 00:00:32.696000,0 days 00:43:35.601000,0 days 00:43:52.840000,0 days 00:44:25.536000,288.0,325.0,306.0,324.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:43:09.091000,,1,,,,False,True,1
0 days 00:52:40.862000,HAD,6,0 days 00:01:16.175000,11.0,4.0,,,0 days 00:00:26.345000,0 days 00:00:17.148000,0 days 00:00:32.682000,0 days 00:51:51.032000,0 days 00:52:08.180000,0 days 00:52:40.862000,289.0,328.0,309.0,329.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:51:24.687000,,12,,,,False,True,1
0 days 00:16:34.407000,ALO,14,0 days 00:01:16.546000,2.0,1.0,,,0 days 00:00:26.495000,0 days 00:00:17.304000,0 days 00:00:32.747000,0 days 00:15:44.356000,0 days 00:16:01.660000,0 days 00:16:34.407000,289.0,324.0,308.0,324.0,True,SOFT,2.0,True,Aston Martin,0 days 00:15:17.861000,,1,,,,False,True,1
0 days 00:22:56.773000,ALO,14,0 days 00:01:16.288000,5.0,2.0,,,0 days 00:00:26.300000,0 days 00:00:17.107000,0 days 00:00:32.881000,0 days 00:22:06.785000,0 days 00:22:23.892000,0 days 00:22:56.773000,289.0,327.0,308.0,327.0,True,SOFT,2.0,True,Aston Martin,0 days 00:21:40.485000,,1,,,,False,True,1
0 days 00:53:27.608000,ALO,14,0 days 00:01:16.453000,12.0,5.0,,,0 days 00:00:26.374000,0 days 00:00:17.188000,0 days 00:00:32.891000,0 days 00:52:37.529000,0 days 00:52:54.717000,0 days 00:53:27.608000,287.0,328.0,305.0,330.0,True,SOFT,2.0,True,Aston Martin,0 days 00:52:11.155000,,1,,,,False,True,1
0 days 00:17:03.390000,STR,18,0 days 00:01:16.950000,2.0,1.0,,,0 days 00:00:26.697000,0 days 00:00:17.289000,0 days 00:00:32.964000,0 days 00:16:13.137000,0 days 00:16:30.426000,0 days 00:17:03.390000,290.0,324.0,308.0,325.0,True,SOFT,2.0,True,Aston Martin,0 days 00:15:46.440000,,1,,,,False,True,1
0 days 00:23:08.558000,STR,18,0 days 00:01:16.659000,5.0,2.0,,,0 days 00:00:26.364000,0 days 00:00:17.191000,0 days 00:00:33.104000,0 days 00:22:18.263000,0 days 00:22:35.454000,0 days 00:23:08.558000,288.0,326.0,307.0,329.0,True,SOFT,2.0,True,Aston Martin,0 days 00:21:51.899000,,1,,,,False,True,1
0 days 00:30:43.510000,STR,18,0 days 00:01:16.369000,8.0,3.0,,,0 days 00:00:26.474000,0 days 00:00:17.151000,0 days 00:00:32.744000,0 days 00:29:53.615000,0 days 00:30:10.766000,0 days 00:30:43.510000,290.0,328.0,309.0,327.0,True,SOFT,2.0,True,Aston Martin,0 days 00:29:27.141000,,1,,,,False,True,1
0 days 00:42:38.918000,STR,18,0 days 00:01:17.070000,11.0,4.0,,,0 days 00:00:26.601000,0 days 00:00:17.306000,0 days 00:00:33.163000,0 days 00:41:48.449000,0 days 00:42:05.755000,0 days 00:42:38.918000,288.0,325.0,306.0,323.0,True,SOFT,5.0,False,Aston Martin,0 days 00:41:21.848000,,1,,,,False,True,1
0 days 00:51:57.765000,STR,18,0 days 00:01:16.483000,14.0,5.0,,,0 days 00:00:26.457000,0 days 00:00:17.173000,0 days 00:00:32.853000,0 days 00:51:07.739000,0 days 00:51:24.912000,0 days 00:51:57.765000,288.0,325.0,307.0,326.0,True,SOFT,2.0,True,Aston Martin,0 days 00:50:41.282000,,12,,,,False,True,1
0 days 00:16:05.512000,DOO,7,0 days 00:01:16.999000,2.0,1.0,,,0 days 00:00:26.740000,0 days 00:00:17.282000,0 days 00:00:32.977000,0 days 00:15:15.253000,0 days 00:15:32.535000,0 days 00:16:05.512000,288.0,324.0,307.0,321.0,True,SOFT,2.0,True,Alpine,0 days 00:14:48.513000,,1,,,,False,True,1
0 days 00:20:51.248000,DOO,7,0 days 00:01:16.729000,5.0,1.0,,,0 days 00:00:26.534000,0 days 00:00:17.153000,0 days 00:00:33.042000,0 days 00:20:01.053000,0 days 00:20:18.206000,0 days 00:20:51.248000,288.0,326.0,310.0,323.0,True,SOFT,5.0,True,Alpine,0 days 00:19:34.519000,,1,,,,False,True,1
0 days 00:30:17.177000,DOO,7,0 days 00:01:16.315000,8.0,2.0,,,0 days 00:00:26.381000,0 days 00:00:17.150000,0 days 00:00:32.784000,0 days 00:29:27.243000,0 days 00:29:44.393000,0 days 00:30:17.177000,289.0,326.0,309.0,325.0,True,SOFT,2.0,True,Alpine,0 days 00:29:00.862000,,1,,,,False,True,1
