Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber
0 days 00:21:09.459000,NOR,4,0 days 00:01:23.430000,2.0,1.0,,,0 days 00:00:17.302000,0 days 00:00:36.258000,0 days 00:00:29.870000,0 days 00:20:03.331000,0 days 00:20:39.589000,0 days 00:21:09.459000,292.0,322.0,221.0,329.0,True,SOFT,2.0,True,McLaren,0 days 00:19:46.029000,,1,,,,False,True,24
0 days 00:29:45.271000,NOR,4,0 days 00:01:23.178000,5.0,2.0,,,0 days 00:00:17.056000,0 days 00:00:36.237000,0 days 00:00:29.885000,0 days 00:28:39.149000,0 days 00:29:15.386000,0 days 00:29:45.271000,291.0,320.0,223.0,325.0,True,SOFT,2.0,True,McLaren,0 days 00:28:22.093000,,1,,,,False,True,24
0 days 00:45:52.111000,NOR,4,0 days 00:01:22.804000,8.0,3.0,,,0 days 00:00:16.992000,0 days 00:00:36.043000,0 days 00:00:29.769000,0 days 00:44:46.299000,0 days 00:45:22.342000,0 days 00:45:52.111000,293.0,323.0,220.0,326.0,True,SOFT,5.0,False,McLaren,0 days 00:44:29.307000,,1,,,,False,True,24
0 days 01:05:18.362000,NOR,4,0 days 00:01:22.751000,13.0,5.0,,,0 days 00:00:17.001000,0 days 00:00:36.003000,0 days 00:00:29.747000,0 days 01:04:12.612000,0 days 01:04:48.615000,0 days 01:05:18.362000,292.0,322.0,220.0,327.0,True,SOFT,4.0,False,McLaren,0 days 01:03:55.611000,,1,,,,False,True,24
0 days 01:14:11.926000,NOR,4,0 days 00:01:22.408000,16.0,6.0,,,0 days 00:00:16.908000,0 days 00:00:35.890000,0 days 00:00:29.610000,0 days 01:13:06.426000,0 days 01:13:42.316000,0 days 01:14:11.926000,293.0,321.0,219.0,327.0,True,SOFT,2.0,True,McLaren,0 days 01:12:49.518000,,1,,,,False,True,24
0 days 00:21:53.470000,PIA,81,0 days 00:01:23.255000,2.0,1.0,,,0 days 00:00:17.058000,0 days 00:00:36.198000,0 days 00:00:29.999000,0 days 00:20:47.273000,0 days 00:21:23.471000,0 days 00:21:53.470000,292.0,319.0,219.0,327.0,True,SOFT,2.0,True,McLaren,0 days 00:20:30.215000,,1,,,,False,True,24
0 days 00:29:58.819000,PIA,81,0 days 00:01:22.605000,5.0,2.0,,,0 days 00:00:16.963000,0 days 00:00:36.015000,0 days 00:00:29.627000,0 days 00:28:53.177000,0 days 00:29:29.192000,0 days 00:29:58.819000,293.0,321.0,223.0,326.0,True,SOFT,2.0,True,McLaren,0 days 00:28:36.214000,,1,,,,False,True,24
0 days 00:45:38.604000,PIA,81,0 days 00:01:23.021000,8.0,3.0,,,0 days 00:00:17.022000,0 days 00:00:36.202000,0 days 00:00:29.797000,0 days 00:44:32.605000,0 days 00:45:08.807000,0 days 00:45:38.604000,292.0,320.0,221.0,326.0,True,SOFT,5.0,False,McLaren,0 days 00:44:15.583000,,1,,,,False,True,24
0 days 01:05:48.373000,PIA,81,0 days 00:01:22.622000,13.0,5.0,,,0 days 00:00:16.935000,0 days 00:00:35.999000,0 days 00:00:29.688000,0 days 01:04:42.686000,0 days 01:05:18.685000,0 days 01:05:48.373000,294.0,321.0,221.0,327.0,True,SOFT,4.0,False,McLaren,0 days 01:04:25.751000,,1,,,,False,True,24
0 days 01:14:02.538000,PIA,81,0 days 00:01:22.437000,16.0,6.0,,,0 days 00:00:16.919000,0 days 00:00:35.930000,0 days 00:00:29.588000,0 days 01:12:57.020000,0 days 01:13:32.950000,0 days 01:14:02.538000,293.0,321.0,220.0,327.0,True,SOFT,2.0,True,McLaren,0 days 01:12:40.101000,,1,,,,False,True,24
0 days 00:22:12.563000,RUS,63,0 days 00:01:23.247000,2.0,1.0,,,0 days 00:00:17.008000,0 days 00:00:36.130000,0 days 00:00:30.109000,0 days 00:21:06.324000,0 days 00:21:42.454000,0 days 00:22:12.563000,293.0,324.0,220.0,328.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:49.316000,,1,,,,False,True,24
0 days 00:30:50.513000,RUS,63,0 days 00:01:23.255000,5.0,2.0,,,0 days 00:00:17.024000,0 days 00:00:36.080000,0 days 00:00:30.151000,0 days 00:29:44.282000,0 days 00:30:20.362000,0 days 00:30:50.513000,293.0,324.0,219.0,328.0,False,SOFT,5.0,False,Mercedes,0 days 00:29:27.258000,,1,,,,False,True,24
0 days 00:44:38.507000,RUS,63,0 days 00:01:22.730000,8.0,3.0,,,0 days 00:00:16.946000,0 days 00:00:35.916000,0 days 00:00:29.868000,0 days 00:43:32.723000,0 days 00:44:08.639000,0 days 00:44:38.507000,294.0,322.0,223.0,328.0,True,SOFT,2.0,True,Mercedes,0 days 00:43:15.777000,,1,,,,False,True,24
0 days 00:53:38.216000,RUS,63,0 days 00:01:23.107000,11.0,4.0,,,0 days 00:00:16.976000,0 days 00:00:35.951000,0 days 00:00:30.180000,0 days 00:52:32.085000,0 days 00:53:08.036000,0 days 00:53:38.216000,294.0,323.0,221.0,330.0,False,SOFT,5.0,False,Mercedes,0 days 00:52:15.109000,,1,,,,False,True,24
0 days 01:06:12.667000,RUS,63,0 days 00:01:22.868000,14.0,5.0,,,0 days 00:00:16.978000,0 days 00:00:35.921000,0 days 00:00:29.969000,0 days 01:05:06.777000,0 days 01:05:42.698000,0 days 01:06:12.667000,294.0,321.0,223.0,326.0,True,SOFT,2.0,True,Mercedes,0 days 01:04:49.799000,,1,,,,False,True,24
0 days 01:14:27.212000,RUS,63,0 days 00:01:22.645000,17.0,6.0,,,0 days 00:00:16.918000,0 days 00:00:35.898000,0 days 00:00:29.829000,0 days 01:13:21.485000,0 days 01:13:57.383000,0 days 01:14:27.212000,295.0,323.0,216.0,330.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:04.567000,,1,,,,False,True,24
0 days 00:20:34.679000,LEC,16,0 days 00:01:23.994000,2.0,1.0,,,0 days 00:00:17.229000,0 days 00:00:36.412000,0 days 00:00:30.353000,0 days 00:19:27.914000,0 days 00:20:04.326000,0 days 00:20:34.679000,289.0,321.0,220.0,327.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:19:10.685000,,1,,,,False,True,24
