DriverNumber,LapTime,LapNumber,SpeedST,TyreLife,TrackTemp,Rainfall,Position,RoundNumber,FuelLevel,QualiBest,Target,DriverPower,TeamPace,C_INTERMEDIATE,Length,Traction,Abrasion,TrackEvolution,TyreStress,Lateral,Downforce,CompoundRating,GapAhead,GapBehind
81,92.672,10.0,280.0,10.0,19.1,0,3.0,1,47.0,75.096,1.2340470863960795,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,1.319,1.484
87,96.411,10.0,253.0,6.0,19.1,0,17.0,1,47.0,75.096,1.2838366890380313,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,2.664,100.0
1,92.453,11.0,272.0,11.0,19.1,0,2.0,1,46.0,75.096,1.2311308192180674,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.151,1.341
4,92.189,11.0,278.0,11.0,19.1,0,1.0,1,46.0,75.096,1.227615319058272,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,1.151
5,94.655,11.0,281.0,11.0,19.3,0,14.0,1,46.0,75.096,1.2604532864599978,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,3.484,3.542
10,94.702,11.0,261.0,11.0,19.1,0,9.0,1,46.0,75.096,1.2610791520187492,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,0.946,1.097
12,94.678,11.0,264.0,11.0,19.3,0,13.0,1,46.0,75.096,1.2607595610951314,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,0.725,3.484
14,95.3,11.0,244.0,11.0,19.1,0,10.0,1,46.0,75.096,1.2690422925322251,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.097,1.806
16,94.251,11.0,263.0,11.0,19.1,0,5.0,1,46.0,75.096,1.255073505912432,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,1.115,2.574
18,94.972,11.0,266.0,7.0,19.3,0,11.0,1,46.0,75.096,1.2646745499094492,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.806,0.876
22,94.136,11.0,257.0,11.0,19.1,0,6.0,1,46.0,75.096,1.2535421327367635,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,2.574,1.231
23,94.206,11.0,252.0,9.0,19.1,0,7.0,1,46.0,75.096,1.2544742729306488,1.0883597823431241,1.0899718193690289,1,5278,2,2,3,3,3,3,0,1.231,1.253
27,94.99,11.0,265.0,11.0,19.3,0,12.0,1,46.0,75.096,1.2649142431021625,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,0.876,0.725
30,95.174,11.0,269.0,10.0,19.3,0,16.0,1,46.0,75.096,1.2673644401832322,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,2.053,2.461
31,95.696,11.0,243.0,7.0,19.3,0,15.0,1,46.0,75.096,1.2743155427719186,1.096348326492616,1.0965346807736014,1,5278,2,2,3,3,3,3,0,3.542,2.053
44,94.299,11.0,258.0,11.0,19.1,0,8.0,1,46.0,75.096,1.2557126877596676,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,1.253,0.946
63,93.347,11.0,281.0,11.0,19.1,0,4.0,1,46.0,75.096,1.2430355811228293,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,2.399,1.115
81,91.959,11.0,271.0,11.0,19.1,0,3.0,1,46.0,75.096,1.224552572706935,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,1.341,2.399
87,95.416,11.0,250.0,7.0,19.3,0,17.0,1,46.0,75.096,1.2705869819963778,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,2.461,100.0
1,91.591,12.0,274.0,12.0,19.3,0,2.0,1,45.0,75.096,1.2196521785447958,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.415,0.847
4,91.778,12.0,284.0,12.0,19.3,0,1.0,1,45.0,75.096,1.222142324491318,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,1.415
5,94.382,12.0,270.0,12.0,19.3,0,14.0,1,45.0,75.096,1.2568179397038457,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,3.461,4.583
10,94.227,12.0,262.0,12.0,19.3,0,9.0,1,45.0,75.096,1.2547539149888145,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,1.349,1.695
12,95.385,12.0,270.0,12.0,19.3,0,13.0,1,45.0,75.096,1.2701741770533717,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,0.413,3.461
14,94.076,12.0,263.0,12.0,19.3,0,10.0,1,45.0,75.096,1.252743155427719,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.695,1.478
16,93.536,12.0,268.0,12.0,19.3,0,5.0,1,45.0,75.096,1.2455523596463194,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,2.019,2.459
18,94.426,12.0,278.0,8.0,19.3,0,11.0,1,45.0,75.096,1.257403856397145,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.478,0.894
22,93.273,12.0,263.0,12.0,19.3,0,6.0,1,45.0,75.096,1.242050175775008,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,2.459,1.301
23,93.713,12.0,255.0,10.0,19.3,0,7.0,1,45.0,75.096,1.2479093427080004,1.0883597823431241,1.0899718193690289,1,5278,2,2,3,3,3,3,0,1.301,1.346
27,94.989,12.0,268.0,12.0,19.3,0,12.0,1,45.0,75.096,1.2649009268136784,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,0.894,0.413
30,94.064,12.0,261.0,11.0,19.3,0,16.0,1,45.0,75.096,1.2525833599659102,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.531,2.703
44,93.255,12.0,266.0,12.0,19.3,0,8.0,1,45.0,75.096,1.2418104825822949,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,1.346,1.349
63,92.803,12.0,278.0,12.0,19.3,0,4.0,1,45.0,75.096,1.2357915201874932,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,3.787,2.019
81,91.29,12.0,274.0,12.0,19.3,0,3.0,1,45.0,75.096,1.2156439757110895,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,0.847,3.787
87,95.002,12.0,263.0,8.0,19.3,0,17.0,1,45.0,75.096,1.2650740385639714,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,2.703,100.0
1,91.271,13.0,281.0,13.0,19.3,0,2.0,1,44.0,75.096,1.2153909662298925,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.228,0.546
4,91.318,13.0,279.0,13.0,19.3,0,1.0,1,44.0,75.096,1.2160168317886435,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,1.228
5,94.383,13.0,261.0,13.0,19.3,1,14.0,1,44.0,75.096,1.2568312559923296,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,2.458,4.778
10,93.275,13.0,273.0,13.0,19.3,1,9.0,1,44.0,75.096,1.2420768083519762,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,2.321,1.544
12,93.697,13.0,261.0,13.0,19.3,1,13.0,1,44.0,75.096,1.2476962820922552,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,0.809,2.458
14,93.515,13.0,261.0,13.0,19.3,1,10.0,1,44.0,75.096,1.2452727175881535,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.544,1.828
16,92.198,13.0,274.0,13.0,19.3,0,5.0,1,44.0,75.096,1.2277351656546287,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,2.752,2.196
18,93.899,13.0,275.0,9.0,19.3,1,11.0,1,44.0,75.096,1.250386172366038,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.828,1.457
22,92.762,13.0,262.0,13.0,19.3,0,6.0,1,44.0,75.096,1.2352455523596462,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,2.196,1.741
23,93.153,13.0,256.0,11.0,19.3,1,7.0,1,44.0,75.096,1.240452221156919,1.0883597823431241,1.0899718193690289,1,5278,2,2,3,3,3,3,0,1.741,0.888
27,94.064,13.0,274.0,13.0,19.3,1,12.0,1,44.0,75.096,1.2525833599659102,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,1.457,0.809
30,94.316,13.0,276.0,12.0,19.3,1,16.0,1,44.0,75.096,1.2559390646638968,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.018,3.641
31,93.936,13.0,261.0,9.0,19.3,1,15.0,1,44.0,75.096,1.2508788750399489,1.096348326492616,1.0965346807736014,1,5278,2,2,3,3,3,3,0,4.778,1.018
44,93.017,13.0,258.0,13.0,19.3,1,8.0,1,44.0,75.096,1.238641205923085,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,0.888,2.321
63,92.364,13.0,286.0,13.0,19.3,0,4.0,1,44.0,75.096,1.229945669542985,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,5.3,2.752
81,91.377,13.0,274.0,13.0,19.3,0,3.0,1,44.0,75.096,1.216802492809204,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,0.546,5.3
87,94.25,13.0,271.0,9.0,19.3,1,17.0,1,44.0,75.096,1.255060189623948,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,3.641,100.0
1,90.639,14.0,282.0,14.0,19.3,1,2.0,1,43.0,75.096,1.2069750719079575,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.181,0.652
4,90.795,14.0,282.0,14.0,19.3,1,1.0,1,43.0,75.096,1.2090524129114733,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,1.181
5,94.102,14.0,281.0,14.0,19.3,1,14.0,1,43.0,75.096,1.253089378928305,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,3.144,4.331
10,92.859,14.0,274.0,14.0,19.3,1,9.0,1,43.0,75.096,1.2365372323426014,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,2.579,1.784
12,93.802,14.0,268.0,14.0,19.3,1,12.0,1,43.0,75.096,1.2490944923830831,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,0.442,3.144
14,92.664,14.0,272.0,14.0,19.3,1,10.0,1,43.0,75.096,1.233940556088207,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.784,2.212
16,92.448,14.0,279.0,14.0,19.3,1,5.0,1,43.0,75.096,1.231064237775647,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,2.586,2.76
18,93.097,14.0,273.0,10.0,19.3,1,11.0,1,43.0,75.096,1.239706509001811,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,2.212,1.622
22,92.434,14.0,278.0,14.0,19.3,1,6.0,1,43.0,75.096,1.23087780973687,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,2.76,2.132
23,92.717,14.0,257.0,12.0,19.3,1,7.0,1,43.0,75.096,1.234646319377863,1.0883597823431241,1.0899718193690289,1,5278,2,2,3,3,3,3,0,2.132,0.752
27,95.018,14.0,279.0,14.0,19.3,1,13.0,1,43.0,75.096,1.2652870991797165,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,1.622,0.442
30,93.617,14.0,258.0,13.0,19.3,1,16.0,1,43.0,75.096,1.2466309790135293,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.398,3.575
31,93.526,14.0,262.0,10.0,19.3,1,15.0,1,43.0,75.096,1.2454191967614785,1.096348326492616,1.0965346807736014,1,5278,2,2,3,3,3,3,0,4.331,1.398
44,92.992,14.0,268.0,14.0,19.3,1,8.0,1,43.0,75.096,1.2383082987109832,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,0.752,2.579
63,91.856,14.0,284.0,14.0,19.3,1,4.0,1,43.0,75.096,1.2231809949930754,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,6.287,2.586
81,90.555,14.0,273.0,14.0,19.3,1,3.0,1,43.0,75.096,1.2058565036752955,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,0.652,6.287
87,93.732,14.0,270.0,10.0,19.3,1,17.0,1,43.0,75.096,1.2481623521891978,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,3.575,100.0
1,90.328,15.0,287.0,15.0,19.3,0,2.0,1,42.0,75.096,1.2028337061894108,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.025,0.568
4,90.226,15.0,281.0,15.0,19.3,0,1.0,1,42.0,75.096,1.2014754447640352,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,1.025
5,93.692,15.0,283.0,15.0,19.3,1,14.0,1,42.0,75.096,1.2476297006498347,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,2.67,3.755
