RoundNumber,LapNumber,DriverNumber,AvgCorneringSpeed,MaxSpeed,AvgRPM,GearShifts,AvgThrottle,BrakePct
1,22,12,110.27793,319.0,10234.857562408222,36.0,65.20789,17.474302496328928
1,23,12,113.14092,305.0,10360.696793002915,35.0,67.173615,17.20116618075802
1,24,12,112.05693,306.0,10318.639716312056,35.0,66.38663,17.588652482269502
1,25,12,113.38674,306.0,10328.83406113537,35.0,68.88222,14.992721979621543
1,26,12,112.13113,307.0,10349.181428571428,36.0,66.594406,15.571428571428573
1,27,12,112.84159,309.0,10349.314371257486,34.0,65.97442,16.766467065868262
1,28,12,111.769424,325.0,10212.764705882353,37.0,64.52536,16.176470588235293
1,29,12,114.71487,314.0,10423.049132947977,33.0,66.26097,17.77456647398844
1,30,12,112.91632,308.0,10375.826530612245,33.0,66.147995,15.597667638483964
1,31,12,114.4301,304.0,10487.680758017492,35.0,68.35052,16.18075801749271
1,32,12,114.68421,306.0,10460.723214285714,35.0,67.1815,15.327380952380953
1,35,12,108.70249,291.0,9664.848180677542,42.0,52.236214,19.949811794228356
1,36,12,107.508224,299.0,9873.380764163372,43.0,54.90222,17.654808959156785
1,37,12,98.95605,299.0,8820.8875,45.0,37.25834,20.625
1,38,12,91.99608,280.0,8895.040913415794,55.0,35.88894,22.549952426260706
1,39,12,102.02157,276.0,9245.061553985874,51.0,40.5376,20.686175580222
1,40,12,110.05474,282.0,9173.213131313132,52.0,37.90997,25.353535353535356
1,41,12,108.02179,289.89474,9485.957627118643,52.0,40.759716,25.10593220338983
1,42,12,116.052376,313.0,10516.627659574468,41.0,67.596924,19.6048632218845
1,43,12,116.404686,332.0,10474.319508448541,39.0,69.15522,16.129032258064516
1,46,12,113.926834,323.0,10286.328908554573,40.0,62.311516,20.206489675516224
1,47,12,110.04323,303.0,8735.59009483667,37.0,34.00248,16.859852476290833
1,48,12,105.89237,291.0,9309.098061573546,48.0,41.14353,22.006841505131128
1,49,12,108.92228,245.0,8825.61488372093,46.0,30.323832,23.162790697674417
1,50,12,109.92767,273.15625,8875.95202257761,43.0,30.824549,21.072436500470367
1,51,12,111.09579,286.55,9286.28361138371,43.0,34.84298,19.234543670264966
1,52,12,111.1823,304.0,10096.84065934066,42.0,60.63156,19.09340659340659
1,53,12,113.43315,303.0,10271.201470588236,36.0,61.880413,19.852941176470587
1,54,12,114.20495,309.0,10375.326378539494,35.0,64.37705,17.58569299552906
1,55,12,112.54201,327.0,10366.536296296295,41.0,62.46385,21.037037037037038
1,56,12,115.03041,327.0,10475.72824427481,36.0,66.26146,16.335877862595417
1,57,12,114.88362,305.0,10480.406727828746,36.0,68.34992,15.137614678899084
1,6,14,103.62908,260.0,9159.362020579982,57.0,38.22318,27.876520112254443
1,7,14,110.75149,279.0,9506.183157894737,57.0,41.849052,26.94736842105263
1,8,14,114.00292,303.0,10122.63178807947,44.0,57.436848,21.986754966887418
1,9,14,114.101715,307.0,9988.829268292682,45.0,59.193165,19.241192411924118
1,10,14,113.34141,306.0,9824.110807113542,40.0,59.29062,22.024623803009575
1,11,14,112.30591,305.0,9951.662983425414,38.0,61.517803,21.54696132596685
1,12,14,114.14297,303.0,10010.367123287671,41.0,62.650352,20.273972602739725
1,13,14,111.77565,306.0,9961.680939226519,39.0,61.65723,19.88950276243094
1,14,14,112.54487,303.0,9995.093795093795,39.0,59.523617,21.933621933621932
1,15,14,113.945984,305.0,10100.93043478261,36.0,62.928596,19.710144927536234
1,16,14,113.582924,326.0,10097.711888111888,42.0,61.334156,20.97902097902098
1,17,14,112.20031,308.0,10079.379213483146,39.0,61.426632,21.769662921348313
1,18,14,112.094666,307.0,10055.311859443631,42.0,61.709343,22.10834553440703
1,19,14,110.39316,328.0,10085.477568740955,42.0,60.82414,21.99710564399421
1,20,14,110.8808,322.0,10033.060992907802,40.0,60.62429,16.73758865248227
1,21,14,111.713264,324.0,10120.678873239436,38.0,62.19704,21.12676056338028
1,22,14,109.78112,305.0,10003.655523255815,38.0,63.419807,18.459302325581394
1,23,14,110.68417,304.0,10010.297532656023,38.0,63.50428,19.448476052249635
1,24,14,112.9893,306.0,10065.750700280112,40.0,62.688385,21.1484593837535
1,25,14,114.2722,307.0,10149.396253602305,36.0,64.89435,17.146974063400577
1,26,14,113.92521,304.0,10234.667621776503,38.0,66.15246,18.76790830945559
1,27,14,113.24823,304.0,10159.333827893175,38.0,64.520164,19.13946587537092
1,28,14,112.06246,304.0,10215.777614138438,38.0,66.738106,17.378497790868924
1,29,14,113.2201,303.0,10263.455072463768,45.0,66.51296,18.695652173913043
1,30,14,116.38883,302.0,10270.077598828697,42.0,67.18401,18.00878477306003
1,31,14,117.68642,302.0,10210.41788856305,40.0,67.19724,18.475073313782993
1,32,14,115.20293,303.0,10275.586924219911,41.0,67.69595,16.939078751857355
1,33,14,111.36264,298.0,10087.27797833935,18.0,57.15641,23.826714801444044
1,6,16,109.509834,248.0,9316.360980207352,52.0,39.560547,26.767200754005653
1,7,16,107.96241,281.85046,9446.735643564356,52.0,41.52673,27.12871287128713
1,8,16,113.094124,305.0,10074.537848605578,45.0,58.784138,34.66135458167331
1,9,16,114.04607,308.0,10153.224795640326,39.0,61.2868,29.972752043596728
1,10,16,113.00627,308.0,10189.3202247191,38.0,64.74665,20.786516853932586
1,11,16,113.9378,304.0,9949.417597765363,38.0,63.370255,20.391061452513966
1,12,16,112.95803,301.0,10252.77134986226,40.0,64.5013,20.24793388429752
1,13,16,112.85986,306.0,10214.943262411347,38.0,66.27884,21.134751773049647
1,14,16,114.75186,303.0,10365.043041606887,39.0,66.24497,19.225251076040173
1,15,16,114.96825,303.0,10329.662824207493,39.0,67.183266,18.29971181556196
1,16,16,113.323204,304.0,10325.112391930836,39.0,65.30223,21.613832853025936
1,17,16,112.16467,305.0,10273.488078541375,39.0,66.12752,20.61711079943899
1,18,16,112.780396,304.0,10310.834782608696,43.0,65.59852,18.26086956521739
1,19,16,114.60775,305.0,10249.284682080925,39.0,66.0808,20.664739884393065
1,20,16,113.34952,304.0,10228.18023255814,36.0,67.74617,19.040697674418606
1,21,16,113.94649,305.0,10287.301428571429,36.0,67.94003,20.42857142857143
1,22,16,115.943436,304.0,10363.31352154532,38.0,68.595436,17.830609212481427
1,23,16,115.642555,304.0,10334.123348017622,38.0,66.81156,19.383259911894275
1,24,16,114.87127,305.0,10229.637535816619,40.0,67.05758,19.770773638968482
1,25,16,114.56296,305.0,10172.004360465116,37.0,67.862755,18.75
1,26,16,113.79183,306.0,10326.021613832852,39.0,67.89792,19.740634005763688
1,27,16,114.32368,307.0,10251.67161961367,36.0,68.82307,17.97919762258544
1,28,16,114.65153,307.0,10258.863363363364,36.0,67.33306,19.51951951951952
1,29,16,113.62901,305.0,10287.339595375723,37.0,68.91533,18.641618497109828
1,30,16,114.323326,305.0,10204.938897168406,35.0,67.618835,14.754098360655737
1,31,16,115.16618,304.0,10200.865994236312,34.0,68.28446,20.172910662824208
1,32,16,112.78303,302.0,10195.751445086706,36.0,69.44442,18.20809248554913
1,33,16,113.26466,305.0,10086.406926406926,40.0,62.33636,22.07792207792208
1,36,16,114.52638,299.0,9944.386333771354,42.0,56.729534,20.367936925098554
1,37,16,88.76299,271.0,8887.44235924933,66.0,41.441513,26.988382484361033
1,38,16,97.37516,256.0,9103.391013384322,61.0,42.333847,32.217973231357554
1,39,16,104.017334,260.0,9373.257,50.0,42.962234,24.8
1,40,16,107.12691,254.0,9469.643781094528,58.0,45.691044,31.64179104477612
1,41,16,108.03874,291.535,9483.016597510374,56.0,45.521,27.282157676348547
1,42,16,119.39255,303.0,10395.82923076923,38.0,69.59587,20.76923076923077
1,43,16,111.3517,311.08572,10334.94081942337,39.0,71.10224,18.361153262518968
1,44,16,90.12606,324.0,10016.962447844227,43.0,64.54136,19.33240611961057
1,45,16,116.125145,299.0,10126.284518828452,39.0,65.39285,19.525801952580196
1,46,16,108.79321,333.0,9874.875346260387,41.0,57.80488,32.825484764542935
1,49,16,103.14636,246.0,9092.24596391263,62.0,39.565178,35.32763532763533
1,50,16,104.969536,266.12814,9101.58231420508,56.0,37.14705,37.723424270931325
1,51,16,110.67545,299.2154,9597.639593908629,63.0,41.62367,30.35532994923858
1,52,16,110.36015,314.0,9838.031165311653,42.0,57.851074,23.577235772357724
1,53,16,112.09398,312.0,10106.091304347827,41.0,62.271294,23.18840579710145
1,54,16,116.634094,302.0,10108.889552238807,40.0,66.37914,18.955223880597014
1,55,16,113.38315,304.0,10172.743323442137,38.0,68.97541,18.100890207715135
1,56,16,113.371284,308.0,10172.424924924924,40.0,69.00634,16.966966966966968
1,57,16,116.841446,307.0,10144.055389221558,37.0,68.342995,17.21556886227545
1,6,18,106.18424,248.0,8423.191844300278,40.0,34.230873,30.49119555143652
1,7,18,115.21063,278.25,9033.675847457627,45.0,43.1605,31.56779661016949
1,8,18,113.16469,303.0,9677.46052631579,34.0,58.311867,23.81578947368421
1,9,18,115.33411,300.0,9778.470189701897,32.0,60.172874,22.22222222222222
1,10,18,113.409836,303.0,9915.831491712706,36.0,60.281837,21.685082872928177
1,11,18,112.4303,304.0,9940.425207756232,36.0,62.540756,20.77562326869806
1,12,18,114.77797,303.0,9872.631650750342,36.0,61.590546,19.508867667121418
1,13,18,113.99526,304.0,9916.585872576177,33.0,61.37483,20.3601108033241
1,14,18,113.160126,306.0,10032.592592592593,33.0,64.04976,20.7977207977208
1,15,18,113.40844,305.0,10053.615384615385,39.0,63.06936,20.899854862119014
1,16,18,113.61962,306.0,10059.800557880057,36.0,63.910885,19.804741980474198
1,17,18,112.629875,306.0,9951.219887955182,34.0,62.717266,21.288515406162464
1,18,18,110.48346,303.0,9931.637283236994,33.0,62.531746,20.664739884393065
1,19,18,115.01885,303.0,10125.80230880231,35.0,64.410255,21.21212121212121
1,20,18,114.11575,305.0,9991.630747126437,32.0,63.131237,20.402298850574713
1,21,18,114.196014,304.0,9943.289325842698,33.0,62.86937,21.207865168539325
1,22,18,111.232025,303.0,9859.690544412608,34.0,64.499664,17.908309455587393
1,23,18,113.92783,312.0,10014.817002881844,31.0,65.14174,18.29971181556196
1,24,18,113.0159,306.0,10049.1162464986,34.0,63.93114,19.607843137254903
1,25,18,112.23204,305.0,9917.82183908046,35.0,64.015236,18.53448275862069
1,26,18,113.63743,307.0,9998.473684210527,34.0,64.99581,18.634423897581794
1,27,18,114.90919,307.0,10052.54694485842,35.0,65.81928,19.523099850968702
1,28,18,115.78634,305.0,10032.141193595342,35.0,65.811775,17.612809315866084
1,29,18,114.93252,304.0,10039.876258992806,36.0,65.84766,18.1294964028777
1,30,18,116.84413,304.0,10056.529411764706,35.0,67.00919,18.077474892395983
1,31,18,114.29985,302.0,9952.403156384506,37.0,65.101234,18.220946915351508
1,32,18,115.56592,303.0,9979.925979680696,37.0,63.71551,16.545718432510885
1,35,18,118.95277,288.0,9801.432835820895,35.0,51.45969,22.885572139303484
1,36,18,112.321396,296.0,9891.317269076306,42.0,58.10386,18.473895582329316
1,37,18,98.53452,297.0,8809.180379746835,42.0,40.4026,22.468354430379748
1,38,18,94.57818,284.0,8499.076777251184,48.0,37.518215,22.180094786729857
1,39,18,100.74189,281.0,8905.483417085426,54.0,40.92607,24.522613065326635
1,40,18,102.9046,282.0,9242.704934541793,69.0,41.645393,27.291037260825778
1,41,18,107.851364,290.59286,9251.382289416846,55.0,41.996693,26.02591792656587
1,42,18,116.857704,310.0,10277.908536585366,41.0,69.20292,18.75
1,43,18,117.54212,326.0,10399.716030534351,37.0,70.28161,20.30534351145038
1,46,18,114.76431,303.0,9918.410998552821,35.0,63.35392,19.826338639652676
1,47,18,112.55811,302.0,8855.512631578948,41.0,36.988113,27.157894736842103
1,48,18,103.89976,287.0,9167.489216799091,40.0,42.79859,26.333711691259932
1,49,18,106.87214,239.0,8756.195167286245,44.0,35.704525,30.018587360594793
1,50,18,110.639946,269.44202,8756.604343720492,48.0,34.268414,28.13975448536355
1,51,18,112.98171,283.24286,8827.9717624148,41.0,36.619926,23.369036027263874
1,52,18,110.70404,299.0,9707.207133058984,37.0,59.549603,21.67352537722908
1,53,18,115.18405,301.0,10011.770467836257,34.0,64.39953,17.543859649122805
1,54,18,114.41295,303.0,10089.9375,34.0,65.956375,16.666666666666664
1,55,18,115.1563,302.0,10080.910714285714,33.0,66.424355,18.452380952380953
1,56,18,116.39736,303.0,10114.913173652694,34.0,64.87762,17.964071856287426
1,57,18,116.56823,302.0,10186.203869047618,38.0,66.47957,17.708333333333336
1,6,22,104.9962,268.0,9288.13427230047,56.0,43.07185,31.36150234741784
1,7,22,108.658875,280.74643,9441.198795180722,50.0,44.44917,33.433734939759034
1,8,22,112.92514,309.0,9970.693633952254,35.0,58.39832,23.872679045092838
1,9,22,112.3601,308.0,10118.680216802168,33.0,63.66145,21.40921409214092
1,10,22,114.03416,306.0,10056.514644351464,32.0,63.76339,19.246861924686193
1,11,22,111.61511,307.0,10179.322175732217,37.0,64.27863,21.199442119944212
1,12,22,112.86687,309.0,10136.903581267217,35.0,64.74376,19.146005509641874
1,13,22,113.01914,309.0,10180.412095639944,33.0,65.80081,20.112517580872012
1,14,22,114.77488,308.0,10083.323275862069,35.0,67.6761,19.54022988505747
1,15,22,113.978775,306.0,10036.18194842407,39.0,65.54983,20.34383954154728
1,16,22,113.04861,306.0,10139.239255014327,35.0,65.99827,18.624641833810887
1,17,22,113.81101,307.0,10077.747545582048,35.0,66.05874,19.35483870967742
1,18,22,113.243805,305.0,10055.126984126984,35.0,63.271126,21.356421356421357
1,19,22,112.5905,306.0,10075.492937853107,40.0,64.853745,21.32768361581921
1,20,22,113.09784,306.0,10121.979885057472,34.0,65.33819,20.977011494252874
1,21,22,111.83502,305.0,10089.856125356126,37.0,66.4268,20.51282051282051
1,22,22,114.52713,306.0,10114.658823529411,39.0,66.99945,20.441176470588236
1,23,22,112.16248,306.0,10176.216374269006,34.0,67.084755,19.005847953216374
1,24,22,112.16607,305.0,10146.234463276836,36.0,67.60426,20.056497175141246
1,25,22,113.333336,306.0,10110.423021582734,35.0,67.98673,16.115107913669064
1,26,22,111.88129,306.0,10002.307471264368,32.0,65.93475,20.545977011494255
1,27,22,113.575035,307.0,10039.873156342182,29.0,67.47067,19.174041297935105
1,28,22,113.797676,306.0,10063.022189349113,34.0,67.37292,18.49112426035503
1,29,22,114.11303,306.0,10173.121387283238,37.0,68.686615,17.196531791907514
1,30,22,115.36626,305.0,10121.21251819505,38.0,68.153984,17.03056768558952
1,31,22,114.88463,304.0,10205.209912536444,34.0,68.9255,18.80466472303207
1,32,22,114.79006,303.0,10244.474212034384,35.0,69.059616,18.19484240687679
1,35,22,115.8413,280.0,9695.213282247765,37.0,58.922215,25.15964240102171
1,36,22,119.067894,283.0,9956.008219178082,38.0,61.85029,21.91780821917808
1,37,22,96.4959,284.0,8772.307923771314,44.0,44.170418,23.8716148445336
1,38,22,96.95284,279.0,8939.324401913876,39.0,37.383316,26.02870813397129
1,39,22,105.611885,272.0,9254.035105315948,41.0,42.507145,23.8716148445336
1,40,22,107.753296,263.0,9273.615308151093,42.0,42.33107,27.733598409542743
1,41,22,110.7414,290.36,9503.290794979079,48.0,45.14789,32.53138075313807
1,42,22,116.10912,310.0,10210.053516819571,36.0,68.73917,18.195718654434252
1,43,22,115.45228,327.0,10403.714064914991,37.0,71.88099,19.165378670788254
1,44,22,114.55631,307.0,10289.632218844985,36.0,68.48245,19.908814589665656
1,45,22,108.342995,313.0,9686.982689747005,37.0,61.195583,20.905459387483354
1,46,22,106.879974,320.0,9619.084321475626,36.0,55.37571,25.559947299077734
1,49,22,107.53195,270.0,8811.027540360874,47.0,39.232185,25.356125356125357
1,50,22,105.68279,270.0,8993.80357142857,53.0,39.294807,30.82706766917293
1,51,22,113.37767,289.4232,9488.04196519959,54.0,44.480545,27.328556806550665
1,52,22,109.12124,310.0,10025.363031914894,39.0,58.100044,23.93617021276596
1,53,22,112.55236,306.0,10090.563920454546,44.0,62.829983,22.443181818181817
1,54,22,113.31879,308.0,10173.141592920354,41.0,64.70298,21.533923303834808
1,55,22,113.47217,308.0,10077.677372262773,41.0,63.954655,22.773722627737225
1,56,22,115.9458,305.0,10094.74926686217,40.0,66.20423,19.794721407624632
1,57,22,115.72899,306.0,10144.469719350074,38.0,66.25812,20.6794682422452
1,6,23,106.96411,274.0,9331.572497661366,50.0,35.022614,32.08606173994387
1,7,23,107.729485,283.125,9395.053333333333,46.0,39.45426,28.102564102564102
1,8,23,111.63575,312.0,9985.61059602649,40.0,54.19965,26.092715231788077
1,9,23,113.021675,312.0,9912.470350404312,39.0,57.425087,24.932614555256063
1,10,23,113.12806,310.0,9992.779166666667,40.0,58.134678,24.72222222222222
1,11,23,114.448494,311.0,9987.515363128492,43.0,60.420597,22.48603351955307
1,12,23,113.89428,309.0,10057.759945130316,38.0,60.77138,20.85048010973937
1,13,23,114.153076,306.0,10033.131652661064,40.0,61.206215,21.568627450980394
1,14,23,112.7165,307.0,10043.380952380952,41.0,62.069496,21.5007215007215
1,15,23,114.71795,303.0,10160.508522727272,39.0,60.81553,22.15909090909091
1,16,23,113.81739,305.0,10008.261363636364,38.0,61.94426,21.448863636363637
1,17,23,112.41296,305.0,10092.054545454546,43.0,61.16712,24.055944055944057
1,18,23,111.4141,307.0,10077.6472303207,40.0,61.37412,21.865889212827987
1,19,23,112.06563,308.0,10058.396576319543,40.0,61.082954,20.399429386590583
1,20,23,112.472984,309.0,10065.46,38.0,63.270035,21.428571428571427
1,21,23,114.26003,308.0,10138.582386363636,34.0,62.8204,20.59659090909091
1,22,23,111.21729,307.0,10052.539589442815,37.0,61.679035,20.821114369501466
1,23,23,111.587685,308.0,10168.213762811127,41.0,63.57918,20.937042459736457
1,24,23,110.995346,307.0,10175.127094972067,41.0,63.217964,21.787709497206702
1,25,23,113.524635,309.0,10205.56439942113,40.0,63.07159,19.536903039073806
1,26,23,112.517265,310.0,10166.129310344828,41.0,63.806965,21.839080459770116
1,27,23,112.276825,310.0,10224.034277198212,39.0,63.778194,20.268256333830102
1,28,23,112.65468,309.0,10185.386666666667,38.0,64.15058,20.59259259259259
1,29,23,112.842606,311.0,10226.424023154848,37.0,64.410446,20.11577424023155
1,30,23,112.554054,309.0,10250.027777777777,37.0,65.70502,19.444444444444446
1,31,23,114.78755,308.0,10282.429403202328,38.0,65.71658,20.52401746724891
1,32,23,113.71528,307.0,10209.092352092352,36.0,65.27892,19.480519480519483
1,35,23,113.11106,292.0,9767.883780332057,51.0,50.101513,28.22477650063857
1,36,23,110.0522,298.0,9781.082894736843,41.0,52.886646,22.36842105263158
